"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\app.component.css", "CSS", 0, 10, 0, 0, 2, 12
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\app.component.html", "HTML", 0, 0, 7, 0, 1, 8
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\app.component.spec.ts", "TypeScript", 27, 0, 0, 0, 5, 32
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\app.component.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\app.module.ts", "TypeScript", 129, 0, 0, 0, 7, 136
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\auth.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\auth.guard.ts", "TypeScript", 36, 0, 0, 0, 6, 42
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\auth.service.ts", "TypeScript", 72, 0, 0, 3, 11, 86
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\footer\footer.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\footer\footer.component.html", "HTML", 0, 0, 10, 0, 1, 11
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\footer\footer.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\footer\footer.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\interview-tips\interview-tips.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\interview-tips\interview-tips.component.html", "HTML", 0, 0, 43, 1, 8, 52
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\interview-tips\interview-tips.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\interview-tips\interview-tips.component.ts", "TypeScript", 38, 0, 0, 0, 4, 42
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\job\job.component.css", "CSS", 0, 40, 0, 0, 13, 53
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\job\job.component.html", "HTML", 0, 0, 76, 1, 4, 81
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\job\job.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\job\job.component.ts", "TypeScript", 99, 0, 0, 1, 17, 117
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\login\login.component.css", "CSS", 0, 19, 0, 0, 2, 21
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\login\login.component.html", "HTML", 0, 0, 39, 0, 2, 41
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\login\login.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\login\login.component.ts", "TypeScript", 24, 0, 0, 0, 5, 29
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\nav\nav.component.css", "CSS", 0, 16, 0, 0, 5, 21
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\nav\nav.component.html", "HTML", 0, 0, 55, 2, 1, 58
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\nav\nav.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\nav\nav.component.ts", "TypeScript", 48, 0, 0, 0, 9, 57
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-dashboard\recruiter-dashboard.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-dashboard\recruiter-dashboard.component.html", "HTML", 0, 0, 25, 0, 1, 26
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-dashboard\recruiter-dashboard.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-dashboard\recruiter-dashboard.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-manage-applications\recruiter-manage-applications.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-manage-applications\recruiter-manage-applications.component.html", "HTML", 0, 0, 30, 0, 1, 31
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-manage-applications\recruiter-manage-applications.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-manage-applications\recruiter-manage-applications.component.ts", "TypeScript", 31, 0, 0, 1, 8, 40
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-review-application\recruiter-review-application.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-review-application\recruiter-review-application.component.html", "HTML", 0, 0, 67, 6, 5, 78
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-review-application\recruiter-review-application.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\recruiter-review-application\recruiter-review-application.component.ts", "TypeScript", 74, 0, 0, 1, 16, 91
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-applications\student-applications.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-applications\student-applications.component.html", "HTML", 0, 0, 40, 0, 1, 41
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-applications\student-applications.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-applications\student-applications.component.ts", "TypeScript", 28, 0, 0, 0, 5, 33
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-apply-job\student-apply-job.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-apply-job\student-apply-job.component.html", "HTML", 0, 0, 34, 1, 2, 37
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-apply-job\student-apply-job.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-apply-job\student-apply-job.component.ts", "TypeScript", 89, 0, 0, 3, 11, 103
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-bookmarks\student-bookmarks.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-bookmarks\student-bookmarks.component.html", "HTML", 0, 0, 18, 0, 1, 19
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-bookmarks\student-bookmarks.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-bookmarks\student-bookmarks.component.ts", "TypeScript", 28, 0, 0, 1, 5, 34
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-dashboard\student-dashboard.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-dashboard\student-dashboard.component.html", "HTML", 0, 0, 41, 0, 1, 42
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-dashboard\student-dashboard.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-dashboard\student-dashboard.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-home\student-home.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-home\student-home.component.html", "HTML", 0, 0, 12, 0, 0, 12
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-home\student-home.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-home\student-home.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-profile\student-profile.component.css", "CSS", 0, 45, 0, 0, 15, 60
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-profile\student-profile.component.html", "HTML", 0, 0, 56, 0, 1, 57
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-profile\student-profile.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\student-profile\student-profile.component.ts", "TypeScript", 30, 0, 0, 0, 8, 38
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\upload-jobs\upload-jobs.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\upload-jobs\upload-jobs.component.html", "HTML", 0, 0, 14, 0, 1, 15
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\upload-jobs\upload-jobs.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\upload-jobs\upload-jobs.component.ts", "TypeScript", 36, 0, 0, 0, 7, 43
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\user-signup\user-signup.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\user-signup\user-signup.component.html", "HTML", 0, 0, 119, 0, 6, 125
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\user-signup\user-signup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\user-signup\user-signup.component.ts", "TypeScript", 65, 0, 0, 0, 8, 73
"c:\Users\jorda\Documents\frontend-final-year-project\src\app\web.service.ts", "TypeScript", 234, 0, 0, 1, 53, 288
"Total", "-", 1443, 130, 686, 22, 389, 2670
